"n"	"date"	"dream"
"045"	"n/a"	"(11/18/1991 (#1)) I remember a man in my dream, we had been talking, discussing things (saw Slacker last night), like at a coffee house.  I remember thinking tax consultants contribute nothing to the economy.  This man made me very happy.  I think we were in love or attracted to each other.  I felt again an unmistakable feeling that I would be meeting someone and falling in love very soon.  Have felt this for about three weeks."
"046"	"n/a"	"(11/18/1991 (#2)) I am in the R&B band again. [I was in this band, Rhythm Box, during my college days at UCSC.] John M and Billie Jean are there.  But we are either near Moab, Utah or Edgewood, Texas.  It's rural.  We ride horses to the gig.  Cody is there. [He was my horse during junior high and high school years.] We're setting up for the show and I realize I forgot to bring any performing clothes or anything.  I just rode up there with the band members.  I have 40 minutes before show.  I ask John if I can go back to ""Tucson"" and he looks doubtful I'll make it in time.  I go to Cody and see that he's tied up okay.  I untie him to work with the rope, to tie it better.  He lays down.  I rub his stomach, head, neck, he loves it.  I'm really taking care of him and enjoying it.  I want to give him a longer lead so he can lay down during the show.  I go in a garage and know I will find long-nosed pliers which I need to cut off rope and fix his fastener.  I do.  I fix up his lead, he's laying sometimes, standing up sometimes, he's very loving to me, appreciative."
"047"	"n/a"	"(11/18/1991 (#3)) I'm at The Maze (Canyonlands N.P.), but on the other side of river.  I can see the part of ISKY (Island in the Sky, Canyonlands N.P.) that sticks out separate from the mesa, above the confluence of the Colorado River and Green River.  There are junipers, pinyons, I can see Chimney Rock!  Red dirt.  It's like I'm near that walk I took the day I stayed out all night in that cave, and I had walked up that ridge to Chimney Rock.  Then I felt like I was on the other side of that ridge.  But I could see up a red incline at the end of the ridge to Chimney Rock.  There are other people there and I sit in the car and wait for them to leave because I want to be there alone before I explore and I also need to take a shit.  There's a family, some kids.  I don't mind, I just wait for them to leave.  I came with someone - a woman.  She has already gone off to explore up the ridge.  I get out of the car.  Thor is there. [Our family dog when I was in grade school.] I sit with him on a picnic table.  He is young.  I make him comfortable.  Then he seems thirsty.  I give him water from a cup but realize it had sugar in it.  I worry about this but he was really thirsty so I let him drink.  I get him more water.  He is happy, appreciative.  Both of these later 2 dreams involved important events in my life - the band, and the Maze.  But while I am on the verge, in the dream, of participating in each one, I am also taking care of Cody and Thor and taking care of them takes precedence over doing this important event.  I.e. - in my life right now, it may be more important to care for someone, to be concerned with loving, than to have incredible adventures."
"048"	"n/a"	"(11/20/1991 (#1)) I am taken hostage by a young woman with a gun.  It is a school-like area.  She had taken others or killed others just before me.  She makes me go into a bathroom.  We go in one stall, stand on the  toilet.  First she says she wants to watch me pee.  I do this for her readily.  Then we press up to one another, we start to kiss, necks, ears.  I really like this woman.  I want to be a lesbian.  Some kids start to come in the bathroom.  We yell at them to leave or take the consequences, i.e. being shot.  They scurry out.  We get back into each other.  I am sad because I really like this woman and am torn between this feeling and knowing she is a killer and psychotic.  At one point she asks if I was going to kiss her on the lips, looking at me like that would be too intense.  I like being near her femininity, her softness, slim thighs and lovely waist.  We go to a stall further down, the walls are higher.  She has to pee.  I wait in the next stall.  I think of telling her ""I'm right here.""  I care for her a lot.  I want to know what it's like to have a woman lover.  As we were walking down to the higher stall, a young man pops in the door - whispers - ""Tara! - Lions, right here!""  He gestures to an area of the bathroom.  He means that in a few minutes they are going to bust in and have a big shootout and I'm to scurry to that area because that's where the protectors, the ""Lions"", the good guys, will be.  I look at the woman;  she seems to either ignore the statement and the man, or to have not heard him.  This is why I am protective and caring when she goes to pee.  Because I know soon will be the big shootout and she'll be shot.  I wake up slightly.  I think of escaping out a window with her and running away with her."
"049"	"n/a"	"(11/20/1991 (#2)) [I am half-awake, but mostly asleep.  However, I am aware that I am laying there dreaming.] It is not trance-like though, because I am reading pages and pages of material.  I mean no pauses.  There's line after line of beautiful language.  I want to remember them but don't remember any. [I think I should keep a little dicta-recorder by my bed.  Definitely.  I really want to know what I'm writing in my sleep!!!] When I start to be too aware of the writing, I am quite able to get back into it and produce more.  My eyes follow these lines I write as on a page.  Wild!"
"050"	"n/a"	"(11/20/1991 (#3)) Traveling in an old car, like Robert P's '61 Mercedes.  I meet or know a girl.  We are to travel together.  We go to a wilderness area - there's a rocky hill back up off the road.  Looks like Utah, Arizona.  I meet her friends who were in a different car.  (Carved like a toy car, bright pink.)  One man and I start to really like each other, but we have to be careful because this man used to see my girl friend, who's around.  This man and I go up to the base of that hill and talk and kiss.  This man is young, long haired, bohemian.  I don't feel like it is a potential permanent relationship, just enjoying the attraction.  We do lots of stuff, can't remember, some interaction with other people in group on trip.  We go to the trunk to get something.  I had packed all my stuff in there.  There was a huge squash, pumpkin in color and taste, but crookneck in shape, in the truck on my stuff and I was afraid it would leak and rot all over.  Some of the people scoop some squash out of the middle to eat.  I try to cover my things with plastic, under the squash, but the people don't care and it's heavy.  I realize that there's no way my girl friend would not know I had been seeing her (ex?) boyfriend.  It is so obvious.  The area in this dream was specific, like we knew there was a small old town nearby, but I'm not sure where it was."
"051"	"n/a"	"(12/??/1991 (#1)) [At Needles, Canyonlands N.P.] Robert K and I were making love.  He stood up with me straddling his waist and I thought - this is something only Robert does.  I got tired of it and did a back flip, rolling away from him.  I expected him to be a little impressed with the gymnastics, but he turned away to do something.  He cut off his penis at the base, and then said ""look, I knew you weakened it by doing that, and I had to cut it off!""  I didn't buy that.  But I wondered why he was blaming it on me when he had done it himself.  I said ""well, to the hospital then?""  he agreed.  Then came a long sequence of driving and pushing him in a cart and some frustration about not getting to the hospital sooner."
"052"	"n/a"	"(12/??/1991 (#2)) [At Joshua Tree, the BLM one, by St. George Utah.] I am in a house.  First I am aware that a woman wants to be my love partner, then I notice Paul V (my middle sister's ex-boyfriend) is waiting for me in bed.  I tell the woman I really want to be with her and keep explaining myself but she says, Tara, you don't have to explain.  Paul and I start to have sex.  It's sensual and fun but I can't get his penis in.  It's not totally hard.  I am on top.  The last scene is me looking down at my thighs around Paul, sitting on him but moving back and forth, squeezing my thighs into him and out.  It's fascinating to feel and watch."
"053"	"(01/22/1992)"	"I am in a city, downtown, night.  Some parts look like Santa Cruz and some parts look like Tucson.  Jeff [my ex-fiance'] has let me use his car and I drive it into a bad area.  There is some problem or I have to do something.  I am at Robert R's law office but it is a tiny little shack or warehouse in an industrial district.  I need fervently to see him.  I knock but someone else, his friend, is staying there.  He's nice and lets me in but can't give me much info.  Robert R has fixed up the place and there's a bunk and desk.  But it's small.  And I'm very aware of this bad area of town, ramps, dirty streets, fencing, etc.  I look in a mirror there, I think and I notice this large circular red blotch on my cheek - left cheek.  It's like dark rouge at first.  I go out and the car's gone, and I know who took it somehow.  I notice that the spot on my cheek is getting different.  It is being eaten away, like acid, and I'm getting a hole in my cheek, deeper and deeper.  I'm terrified about this, and know I should see a doctor but it's more important to get Jeff's car back.  The hole keeps getting deeper so I can start to see bone, jawbone.  It's smaller than at first in circumference - maybe the size of a half dollar now, but just eating away at my cheek.  It's red and tissue-y.  I look for Jeff's car.  I run all over the damn town.  I get to know it inside out.  It's like I've been there before.  I know who has it but can't find her.  I go up ramps, around corners.  It dawns on me that Yvonne [another student] has the car and she's doing it to get my ""attention"", meaning love in a relationship way.  She wants to have a relationship and this is how she's getting my attention.  I am furious at her and frustrated.  Then it seems like Paris or a foreign city, but still familiar.  I go down one-way ramps, end up in people's back yard, go out, back to warehouse district."
"054"	"(01/30/1992)"	"Dreamed I was in jail, lots happening.  I decided to go shower, went into a big tent or something, was getting my stuff together for shower, turned back to my mat where I had dropped my stuff, and written 'in water', or in the patterns that water makes on a mat, was all this info about me, the kinds of relationships I get into, who I am.  Lots of writing.  I read it and turned to a man to my left (sort of behind me) who was sitting on his mat, and I said, ""Do you know me?""  I was really surprised at how accurate the writing in water on the mat had been, about my unhealthy relationships.  He looked at me and said - ""Yes, I am your guide.  I am here to assist you through your life.""  Think he said his name was Bill, and I thought of Bill K.  Then he laughed outrageously - saying ""Get that!  I am your guide, ha ha ha.""  In a joyous way but totally outrageous, not really appropriate.  I became skeptical at his reaction and also his bluntness.  By this time I felt more trance than dream - like and I asked to pull out, I couldn't handle this.  I pulled out, and felt as I did a definite feeling of another consciousness occupying my mind and leaving.  There was a rushing in both ears, a full feeling in my head, then feeling that consciousness pulling out. [Note Jan/2012 - In fall of 1989, without intending to, I did channel in a being who behaved and spoke to me as my spiritual guide. It was quite a momentous experience for me, so for the next few years, before sleeping, I sometimes asked for him to return. The dream above was humorous in its mockery of the original experience.]"
"055"	"(02/05/1992)"	"I am in Wisconsin [that's where Rob lives, but I've never lived there, only visited] , with Mom, Dad, Grandma, in a Wisconsin house.  In other words, a stifling and 'polite' atmosphere.  Now I am participating in a basketball tournament with Rob's teams.  The purpose, I know, is to better understand Rob - his motives and need to be part of coaching these teams.  The people on the team seem high school age.  They are outgoing and good in team dynamics.  I realize that I have very little experience with teams, group activity.  I know I have a lot to learn from them.  But I am like an observer here - a participatory observer.  My purpose is to get inside Rob's team, to understand him better, and also why being part of a team is an excellent / beneficial experience.  I realize this is a part of Rob I have never really tried to understand.  I accept that part of him, but have never looked at the value of it, and how it can better help me understand and be close to him.  The team is large - 20 to 25 people.  There is no real shooting of hoops or even a ball.  It's more like a 'show' of basketball team, synchronous movements, passing (socks?) to each other.  But they are really good at it.  They have rehearsed and trained well.  At the beginning, I see the team we are 'competing' against; they look unhappy, because they can see how good Rob's team is, how much support they have (there is a large audience of family and spectators).  So we do our show.  I participate, keeping up with the tricky movements and watching the team work together.  At one point, I am standing within the group, excited about taking part in this team, experiencing a team.  I think of Ann C's (Tucson tall girl) thoughts about wanting to be part of society.  I am getting a clear message about learning this, and that this learning is to help me understand Rob.  Also I get the message that I need to find out more about Rob, that this dream is an impetus to get me to communicate with him more.  Rob is not visible, but I know it is his team.  After our presentation, I am ecstatic.  We did so well, a great success, the crowd was impressed how well we worked together.  I move along our group, standing on the court, raise my arm and give a shout - ""Whoa!  Yeah!""  I expected the team to follow with their excitement but they are fairly passive.  Later I am back at the house with my family.  3 or 4 members of the team had come to the house previously, to get me for the presentation/game.  I remember feeling slightly odd about them and parents/grandma.  Like they have such a different lifestyle - young, carefree, and they are humorously sarcastic.  But I really didn't care - I didn't feel responsible for this dichotomy in front of family members.  Rather, just let them be themselves.  So back at the house, some team members come by again.  They come in and ask if I want to come with them to celebrate the game's success.  They are fooling around and joking.  I want to go.  One girl, blond, is asking if we still have that same crummy toilet paper in the bathroom.  I want to investigate this bathroom.  I go down the hall, into the bathroom.  Here my vision is extremely clear.  I see the golden wood paneling, carpet (light blue?), the bathroom walls.  I look at it carefully.  It is a very midwestern 'Wisconsin' (older) type house.  Don't know how I know that."
"056"	"(02/16/1992)"	"I'm in Wisconsin.  I take a walk.  It's snowy, silent.  I go for a long walk.  Across a field, over a small ridge or embankment.  Snow everywhere.  I see my footprints in it.  I see a barn or house across a snowy field and go there.  There are horses in stalls.  Big huge horses.  They are willful and strong.  Stomping.  I watch them and somehow get caught between a wall and a horse coming in, just as the man I have come to visit comes in.  I am not too worried.  I just get out of the trap between horse and wall.  I talk with the man I came to see.  He is tall, strong, independent, authoritative, but playful too.  Reminds me of Larry W.  I decide to go back to my place or house.  Instead of experiencing the long walk back, I am immediately transported there.  I wondered about this.  Also I wondered about the ground I'd covered on the walk over - Did I go over the bogs?  Were they frozen?  Why didn't I break through into the bogs?  How deep was that snow?  I remember that walk as almost Russian - like - I was alone out in a snowy, flat wilderness, some trees far off, a wind, but all else silent except my footsteps.  Now I'm home.  The man comes in.  I have just come out of the shower.  I am in a towel and aware of my skin showing, glad it's smooth, the skin showing as I raise my arm, feeling sensual.  I am trying to adjust the towel and it won't clasp in the back.  A little later, the man is working at the floor.  The house I'm in is large, older, wood floors, interesting.  He is like a professor, or authoritarian.  I like him.  Mom is there, a few others.  I recognize the lowboy (furniture) from our (childhood) house, although it looks stripped and different, bigger.  The man is demonstrating something or questioning a problem.  A small drop of water appears by him and rolls to the right, under the lowboy.  It is dark blue and rolls like a drop of mercury.  We pick up an edge of the lowboy and look under it, wondering if the floor was slanted.  Then another drop starts from where the man is and rolls exactly opposite, to the left.  We all wonder at this.  Is the floor crooked?  Both ways?  We talk about measuring it.  Mom comes in with a right-angle measure.  I ask her for a level.  She remarks at that like it's a ridiculous idea, slightly chiding me.  We look to the man for explanation about the floor.  I look carefully at the floor, it seems slanted both ways.  This house seemed empty, like we didn't live there.  It was snowy all around outside.  Like that house in Dr. Zhivago, the cold and outside environment had all come in.  Feeling of open-mindedness, curiosity, questioning, learning, with this man.  Desiring something, like being part of his questioning and learning, discovering things, playfulness.  The atmosphere of the walk - snow/Wisconsin/northern was striking, unmistakable."
"057"	"n/a"	"(02/23/1992 (#1)) In a car with people (women) from jail.  They are rough people.  talk rough, tough, we're off to do something.  I see my camera slip out the window and see it on the street, see the car run over it.  I get a little hysterical about going back to get it.  We do, some of the women cursing about it.  Notes 2/92:  This reminds me of that vivid memory from first grade - when my drawing flew out the window of the Maverick while Mom was driving the Montessori carpool of kids home.  I flipped, made Mom go back and get it - I couldn't lose that manifestation of my creativity.  Always thought the lesson there was giving up materiality, holding on too much to the past and material things instead of relying on my continued creativity."
"058"	"n/a"	"(02/23/1992 (#2)) I was at Jeff's parents' house.  Drawing, or designing a small poster.  It felt like when I used to make cassette tape playlist covers.  I was drawing a tiger, and running across / below the tiger was a broad torn-edge area, with tiger stripes which I was drawing with a wide black marker across thin cut strips of white paper.  It was beautiful.  I was making it carefully, deliberately, I could see each black line and the strips of paper, I was getting intent about it.  Jeff's Mom was handing me the markers and art supplies I think."
"059"	"(06/16/1992)"	"I was at a car wash in Tucson.  A horse was being raised up with ropes.  Lowered, leg bent.  Raised, lowered.  Hooves."
"060"	"(06/25/1992)"	"Someone was applying needles in my back.  I thought it had to do with my back injury.  They were put in all over my middle and upper back.  This took forever.  The needles were huge and long.  And when applied there was pressure around them - like cupping technique.  It went on and on.  It was a woman putting them in.  I could feel the pain as each went in.  And there was something about a substance being put into the muscle, through a syringe."
"061"	"(06/29/1992)"	"Eating shit - I was back on the fire crew;  this shit just multiplied.  It went on and on.  Got in shoes, floor, mouth, everywhere.  Couldn't hide it anymore and I was frustrated because all these people wouldn't leave or let me use a bathroom and clean up.  Shit forced on me."
"062"	"(06/20/1992)"	"Flooding.  We're in my childhood house - middle sister, Mom and I.  Waves getting higher up the street, rising water.  We knew it was the ocean flooding the whole country.  It stopped at the floor of our house.  There was a doll in the water.  I pulled it out - a Chinese doll - obviously from China.  At first I had thought it was from Africa.  I was happy because it meant that cultures and people were coming together.  Also Mom, middle sister and I were amazed that because of the flooding this item could float over and connect us to other continents.  Next scene - a small group of us were on an island or desert.  We were an independent group.  Maybe exploring or looking for a place to set up a new society.  We looked up and saw guys in a jeep approaching.  They four-wheeled down a steep hill.  We knew they were bad but we didn't leave.  They came up to us and took us with them.  Next - we were in an area that had been a ruin but was now being used by the group (jeep guys) to start a new society.  It was dark, cave-like in areas, sandy.  The ruin walls were adobe and went up and down several stories.  This group wanted a society with which we didn't agree but we didn't object.  They took our friend who was like Chewbacca and were going to kill him.  At first we tried to free him.  But we were afraid for our own lives if we objected to it.  There was a racial reason for killing him.  They took us to a lake beach or seashore.  We were playing.  Although we had been trying to free our friend so hard, we now forgot about him.  As we were leaving the beach we looked at our watch and noticed we had missed the time our friend had been killed.  We were sad because we had not even been concerned.  At one point we were told to eat in a cafeteria with the other warriors/ residents.  It was in one of the cave-like areas.  We chose food, but there was something about the colors of the food that had to do with gangs."
"063"	"(07/11/1992)"	"Jeff (my ex-fiance') and I are either flying, bouncing, or traveling.  We go in his room afterward.  After a bit I notice a woman sitting up high on a shelf.  (The shelves remind me of my middle sister's blue and green furniture from our childhood.)  I think she was small at first, like a doll, then a human.  I say ""who's that?"" to Jeff, and she's then beside us and Jeff says - ""Oh that's Clara.  We've been seeing each other behind your back for 1 1/2 years.  You never found out.""  He was very casual about it.  We had just had a great day together and he was now telling me it was over in this very casual way.  I was upset and sort of left stormy.  Later I found a grocery bag full of stuff in my Jeep that Jeff was returning to me - supposedly my stuff.  But it was not recognizable, and there were bunches of grapes on top.  I took that sack, marched to his house, opened the door (screen?) without knocking and flung the whole contents across the floor.  People were there, stunned.  The grapes smushed all over.  I said ""I don't want anything from you.""  Later he tried to give me something else and I found his brother (blond) [he does not have a brother in reality] and asked him - are you Jeff's brother?  Yes.  Give him this and tell him not to give me back stuff.  In this dream, although I knew it was Jeff, he looked like David (my first boyfriend) and I called him David too."
"064"	"n/a"	"(07/12/1992 (#1)) In bed with a woman, in my (and at one time my oldest sister's) old room in my childhood home - making out.  The room is messy and her lover / boyfriend is asleep on the floor.  But she and I like each other.  She is tall and slim.  Dark hair?  We make out and I touch her very softly near her pubis, stroking.  She gives me permission to touch her sex organs but I tell her I've never touched a woman.  She pulls my hand in.  I touch her the way I would like it.  While this is happening, I sense a dark presence above me, turn to see a dark figure - male - hovering over me, really getting in my face.  It is a bit threatening, but with a neediness about it, something it is trying to inflict on me brought on by its own anger / fear / helplessness.  I am frightened but also annoyed and I am aware that I can overcome my fear / keep that fear away, by just telling it off.  Which I do.  Something like, I just rouse myself up enough to yell at it to go away.  Then I go right back to focus on the woman again."
"065"	"n/a"	"(07/12/1992 (#2)) Somehow I am out in the driveway behind my childhood home.  I look down and find some of the Matchbox cars we used to play with out there when we were kids - that purple one, a truck, others.  I remember these cars, the names we gave them, how special they were.  I think - 'they have been hidden or lost out here all this time' and I start to pick them up.  Then my middle sister comes around from the front yard.  She is drumming (Taos drum) and excited about discovering this new drum technique with her hands.  She shows me and finishes it off with a flourish, with a plastic ten-inch square cookie-cutter type thing that she draws along the bottom of the drum for a final roll / swish sound.  It's beautiful but I am preoccupied by something else - an earlier dream image, the toy cars, or it being out of character for her.  So I don't join in her enthusiasm, just watch.  Mom appears on my left then.  Note:  The cars - when I woke I felt the cars had to do with letting go of old (childish?) attachments = Jeff maybe; old loves."
"066"	"(07/15/1992)"	"I take a shit and there are whole roots or sticks in it, fibrous roots like licorice root.  I look at them through glass, they are in water."
"067"	"n/a"	"(07/22/1992 (#1)) I am in the middle of gang warfare somewhere.  It kept going on, everywhere I went there was shooting and scary violence.  I was hiding upstairs in a house at one point, looking out into a dark neighborhood, watching this go on.  I came downstairs and two guys came in and one told me to get on the couch.  At first I just hesitated.  He kept demanding over and over, finally I squeaked out this little ""no"" and turned, to go upstairs.  The two guys laughed at my wimpy refusal.  I got my gun and came down and shot him in the chest.  He was blond.  He seemed surprised, indignant.  Then I said - ""you were going to rape me on the couch, weren't you?""  He said yes and I told him, ""Well, I'm glad I shot you then"" or ""you should be shot then."""
"068"	"n/a"	"(07/22/1992 (#2)) Dreamed I went to a big ranch.  Everyone who worked there was Texan - big, hatted, slow moving.  People (tourists) were buying Indian rugs all over.  Lots of rugs.  Like they were being scammed by the ranch, selling them so many rugs.  I wanted to swim in the creek but they told me I couldn't because it was too polluted.  Then Dad said, ""I'll show you where to swim.""  And we got on a boat with other people, and went down a river.  One guy looked out and said, ""We're coming up on the 30 mile an hour part!  It's too fast.""  I looked out and the river was narrower and going pretty fast.  We drove that boat right up a bank.  Turned around, and came back up the river.  It was now a power boat."
"069"	"(07/23/1992)"	"I dreamed that Mom and Dad divorced.  I am in a wheelchair (traveling or camping, a new place, by a playground).  I know the wheelchair is temporary, but it still bugs me.  Anita K and I together, talking.  Peeing but not shitting."
"070"	"(07/24/1992)"	"I am in a store, there are other people I know there, also.  We talk and chat while we shop.  The store is closing soon.  I buy all this junk food, like candy, caramel apple, bagel, etc.  And though it's late, I think, what else would I like?  I think - lox for the bagels, because there is too much sweet food here.  So I know the store is closing and I go up to the second floor because I think the deli is there, but I turn a corner, hallway, at the end of the hallway there are people in business suits and briefcases coming out of a door, and a sign over the door:  County Attorneys or Deputy D.A. or some public law office.  I am immediately embarrassed, for thinking the store was up here and I also feel out of place and hope they won't notice me.  I turn around and go back downstairs to the store.  During the whole time I had been shopping, I had been taking bites of this loaf of bread and cheese.  Like I was too hungry to wait to get home.  The cheese had little crumbs through it, which another customer and I talked about, like it was a good cuisine idea.  I knew that the store employees knew I was eating this bread and cheese and that it was paid for by the pound.  I was a little unsure about how to remedy this since I wanted to eat from it, not the whole loaf, just a little.  So then one of the clerks, an old woman, kind of hag-like, but very kindly, sticks a price on the bread so it won't matter that I ate part and helps me weigh the cheese.  I am grateful.  Some of the employees and customers are like this, in appearance - hag-like but kind.  There is a model there too.  I pay for all my stuff and go home intending to watch TV and eat junk.  Apparently I live alone.  And it feels like I've set up house (in Tucson?) for myself.  I'm snacking away, thinking some about obligations the next day, and watch TV.  On TV is a news show.  They follow this group down to Monterey for a meet - a race or expo or rally or something.  The leader will not cross some famous bridge on the PCH until he's taken a look at it so he drives in a dirt lot to take a look, others follow.  Then the camera goes up to a helicopter that is flying in to alight.  There is a tall pedestal, very thin with a little platform at the top, that the helicopter is supposed to land on up there in the air.  It's almost like an invisible, transparent, or imaginary pedestal.  But we all know the chopper should stop on the platform.  One of the pilots is standing, half out the door, waving, part of the show/expo.  The helicopter stops just short of the platform, like an imaginary rope had just pulled taut and it couldn't go further.  This caused the pilot to lose balance, and fall out the door.  The helicopter also fell off the platform, sideways, falling through the air.  Halfway to the ground the chopper was righted and flew steady again.  I thought at first the guy who fell out had somehow climbed back in and taken the controls.  But they kept doing slow-motion replays of it.  Apparently they had coverage cameras inside the chopper, on the guy, on the ground and in the air; tape recorders too. (video)  So while I was thinking ""how did that guy get back in the chopper?"", they showed him, he hadn't.  He fell out and the camera on him showed his fall all the way into the ocean.  It was long and sickening.  It had views all across the land from high up.  Then they showed the camera inside the copter and there was another man in there who had scrambled to take the controls.  Apparently he wasn't supposed to be there and no one knew who he was. [subconscious, hidden self?] .  Then they went back to the footage of the man who fell and played what he had transmitted over his radio or mike.  It was so panicky, really horrifying.  A slow-motion transmittal of someone who knows they are going to die petrified.  While the footage showed his fall, how high he was unprotected, I was thinking how scary that would be and wouldn't you die of a heart attack just looking down?  Then the sounds he made told me no.  He was panting really fast and agonizing.  Then even in the water he was still alive, panting, screaming.  Something took over him (cold? water? sharks?) and he died.  Everyone heard this whole thing.  It was sickening.  More about who the other man was.  Later he wrote a letter admitting he piloted, but refusing to identify himself.  View goes back to me sitting on the bed watching all this on TV.  (In the dream it became the dream image, it was not like on a TV screen once they got into it.)  I am so sick and depressed from hearing this, in shock.  However, I start to get a sexual feeling like I could come in my sleep."
"071"	"(11/13/1992)"	"I am at a house, feels like Utah.  The house is old, dirty, messy and there are lots of people around.  A gathering / party.  I see who I think is Rob walk in with someone else and they are midgets!  They have taken a drug or herb concoction to be midgets temporarily.  Someone at this house is dispersing this formula for those who want to try.  Mostly out of boredom, I decide to try it.  I feel confused about why I am there, a little out of place because of the disorganization.  I am cautious about this formula.  I'm not sure I want to try it but decide to because it's something I've never tried.  But, I take only a ""shaving"" (the word I thought of in the dream).  Not a whole dose.  So I don't know if it will work or not.  While I'm waiting, I go outside, front porch / yard.  Sort of wondering about Rob's presence there.  Unhappy feeling.  Then I see a pickup truck pass the house and slow down.  It is night or dusk.  The people in the truck - I know what they're saying telepathically.  They are saying - This is the place where the woman can make you a midget for a short time! They stop to gawk.  They have driven far enough that I can see in the bed of the truck.  The bed has been enlarged.  It's the size of three truck beds, and partitioned for animals.   There are all kinds of dogs back there.  I notice one dog - it looks like Risk [my first dog as an adult. I got her in September 92] .  I call and call to it to come back to me.  Then the dog turns and I see it is not Risk.  Then another dog looks like Risk.  I call again.  It's not Risk.  Then I notice that all these dogs are deformed, (like the midgets inside).  They are for the circus.  One dog on the back right corner is really weird.  You know how you can make a shadow-dog with your hand in front of a light.  This dog was a hand, horizontal;  a big oversized hand that was a dog!  It made me a little sick.  I turned around, back to the porch and there was my middle sister coming up with Risk.  I asked her not to take Risk without telling me.  She acted unconcerned, like she didn't care that I was worried."
"072"	"(07/12/1993)"	"I am watching Dad remove his contacts in my middle sister's room.  I see the contact case wells with saline in them, close up.  Then Dad is in a white coffin, being pushed out of my middle sister's room."
"073"	"(07/13/1993)"	"I am pregnant in this dream.  I'm proud of this and can't wait to experience childbirth.  I'm excited and scared by it.  I get glimpses of the meaningfulness of life coming through me, of perpetuating the physical existence of beings on earth.  I am with my parents.  I am scared about the delivery - it's going to be soon.  Mom and Dad do not really help me emotionally with it.  I start my period and I think it is a sign that labor will start soon.  Part of the discharge is three objects, strange rectangular blocks with markings.  They seem to be made of lucite or hard rubber and are slightly translucent. [Reminds me of the exhibit at Flandrau I played with yesterday.] I look at the markings close up and one seems to be a little grave stone.  (They are about two inches) with writing.  I wash them off and am baffled about why they came out of me.  I think it signals labor starting soon.  I am not getting what I need at 'home' so I get on a bus.  I realize labor could start soon while I'm on the bus.  I ask the driver if he's going to make a loop.  He says I should get off and cross the street and get on the bus going back.  I get off.  At the return bus stop, lots of busses pull up.  They are not the bus I'm supposed to take.  At one point, I start walking between two busses (in a long column of busses).  Then realize the danger.  I go back.  A girl at the stop and I discuss which bus to take.  Throughout the dream I occasionally experience pains like cramps and believe labor will start.  I am returning home.  Suddenly I realize my baby will have a single parent, that I have no mate to raise the baby.  This is connected to my parents' sadness or displeasure at my situation.  I am upset that the baby won't have a father because I think it is really wrong to do that to a child.  I always wanted better if I was ever going to have a child.  (Not fulfilling my moral standards or goals.)  Then I say to myself, at least the baby's father is Erik. [Erik was my most favorite boyfriend, met him when I was a park ranger at Bryce Canyon, 86.] I am overwhelmed with satisfaction, happiness, contentment, fulfillment, that my baby's father is Erik.  I would not want anyone else to be my baby's father.  Still sad that the baby won't have a father in its life.  I consider how hard it might be to find a mate so it will have a father."
"074"	"n/a"	"(07/27/1993 (#1)) Dreamed I was giving oral sex to Chris C [girl at law school 2 years ahead of me] , then to another woman.  She had shaved her pubic hair on top and sides."
"075"	"n/a"	"(07/27/1993 (#2)) I was at the Moose Hill Orchard [in New Hampshire, I worked there picking apples in 85] , I woke in the bunkhouse and saw the pond down the hill.  It was beautiful.  I thought - I don't remember driving here, is this real?  The bed and window were vivid, the feel of the bunkhouse.  I realized I was the first to arrive at the bunkhouse and must set up my apple crates around my bed.  I started doing that.  (Happy that I was really there.)  I was in the apple storage building.  The woman I spoke to on the phone was there, helping me find Macouns [my favorite apple] .  I saw the spotted skin of Macouns.  I looked in drawers under big tables for them.  I was happy there.  It was beautiful and peaceful and something I really wanted to do.  I felt though like the decision had been made too quick, without enough preparation.  I just arrived there all of a sudden."
"076"	"(08/??/1994)"	"I was with a group of people, about ten of us, walking on Mars.  We walked by a sandy, rocky ledge in a reddish landscape.  We were on an archeologic or geologic tour of Mars.  I hung back from the group, I felt an alien might appear.  From behind the ridge, a male Martian came out and walked up to me.  He told me:  ""You people on earth shouldn't be so uptight and hostile about homosexuals.  At one time on your planet, everyone (or every being) was homosexual.  You need to be more tolerant and accepting to homosexuality.""  In the dream I took this to mean: when life on Earth was one-celled and simple organisms."
"077"	"n/a"	"(12/??/1994 (#1)) I was in a courtroom.  I was an attorney in the dream, but was not trying a case that day.  Suddenly an armed man came into the courtroom and threatened all of us.  Some people hid or screamed.  I noticed a way I could escape the room without him seeing me, and I went around to another door.  I got out the door, and went to the clerk's office to report the man.  The clerks knew about him already, but seemed unconcerned.  I was still shaken up.  I left the clerk's office and walked down the court hall.  I turned a corner, and I saw Robert G [One of my law professors. After law school, we had a short love affair. He is about 20 years older than me] .  I was wearing the light green shirt with short sleeves that I had in reality bought but had never yet worn.  By some strange markings on the front of my shirt (it looked like white powder on my shirt), Robert knew without me telling him that I had been involved in a hostage situation.  His eyes questioned me, asking me if I had been in a room with an armed man, but without either of us speaking.  I nodded.  Then he took me to have dinner.  We went to his house or the supermarket and he microwaved a frozen lasagna.  I said, ""Robert, are you really going to microwave a frozen lasagna?"" because he always makes such beautiful and careful food, and I couldn't believe he would microwave a lasagna."
