"n"	"date"	"dream"
"0071"	"(2016-10-18)"	"I'm with a friend in a darkened bedroom crowded with clothes and toys. I pick up a large pet turtle, but the creature escapes my hand and deliberately climbs onto a battery operated toy bus with small blue lights that glow from within. The bus and turtle chug off into the night. I say, ""Wow! This is crazy!"""
"0072"	"(2016-10-18)"	"I'm sitting in an English garden with Donald Trump and his family. Trump is upbeat, arrogant. The scene changes. Trump enters an upscale private first floor lounge occupied by hotel staff. The tent-like roof raises to allow views of the stylish hotel grounds. I'm seated next to Trump, who is standing and sullen. A corpse in a coffin is carried into the room. One at a time, I share hors d'oeuvres with Trump, who scoffs at the body. The scene changes. Trump and I sit on the floor of the hotel's first floor utility closet; his family is the roof. It's dark in here. I'm holding Trump's hand, which is shaped like a wooden spoon. I ask Trump if he's afraid. He says that earlier he'd done building repairs and now wants to leave, but first, he must tell his family. I say, ""I'll call them."" Trump wonders if their phones will ring. I tell him at least one of the phones will get the call."
"0073"	"(2016-10-19)"	"It's dark and raining. I'm flying through an area similar to Green Meadow Lake, where my grandparents had a summer home in the 50s, looking into the lights windows of houses as I soar past. I enter an empty house much like the one my grandparents owned here, settle in, trying not to make noise. Very soon someone bangs on the back door. ""Hello!...hello!"" they call out. For a few minutes I ignore them, hoping they'll leave. Finally, knowing I've been caught, I walk through the darkened house and answer the door. Out back, there's a cab waiting with passengers. The driver and a woman passenger hand me items that have fallen out of a toiletry kit which I had earlier left in the cab. The driver is almost apologetic. I thank him for returning my things. Waking, I say, ""Thanks."""
"0074"	"(2016-10-19)"	"I'm visiting Melinda, my one-time Honduran traveling companion. We live in different apartments in the same building. Someone else is with us. Melinda and I talk, then argue, and she starts to cry. The tension passes; naked, she lays down on the bed. Lithe and beautiful, Melinda tells me she did not like how we first met. She says I dated her because I was lonely. I say I didn't know that. She says maybe she will marry me. I say if she does, she'll have money. Melinda wants to go upstairs to visit her brother. I say I want to go with her. We attend a meeting at the hospital where she works. Melinda explains that she helps people. Outside, we stand near a circular apparatus for mass burn casualties. A regal looking black woman walks by. I step aside for a handsome and proud young African man wearing a suite and tie. I want Melinda. There is something about her. She has inner strength. She has prophetic power. If I lose her, it will be my fault. I feel regret. I feel yearning."
"0075"	"(2016-10-20)"	"I'm with my former girlfriend Karen diving for pearls in the ocean. The sun lit water is murky and shallow. We try out scuba gear. I put mine on and go underwater. I can't do it. I can't make myself breathe while submerged. I'm choking, gasping. I wake up."
"0076"	"(2016-10-21)"	"A dentist works on his patients. A sign reads, ""Bachman Natural Dentist."" A photographer snaps a picture of the sign."
"0077"	"(2016-10-22)"	"I'm living in a ramshackle rooming house. It's seedy and flea bitten. Someone has stolen my bed blanket. Reluctantly, I enter the room of two black brothers to ask if they've seen it. The two men lie face down on the floor and appear to be dead. Their beds are unmade. Dirty clothes and garbage are everywhere. The blanket is not here. The scene changes. I'm standing in a large foyer, much like the one at the Brand Theater where I worked in 1972 as an usher. In a thick British accent, an older Englishman with a 1950s haircut peppers me with questions. ""Do you have a cigarette? Do you have a light?"" On and on he goes. Whenever he speaks, he lurches forward suddenly, causing me to flinch. Is he drunk? ""Do you have coffee?"" he asks. "" Imitating Richard Burton in a scene from Who's Afraid of Virginia Woolf, I say, ""Coffee? Coffee? How do you like your coffee?"" The landlord arrives. I point the Englishman toward him. ""This man would like to speak to you,"" I say."
"0078"	"(2016-10-22)"	"I'm sharing an apartment with actress/author Jamie Lee Curtis. We've been flirting. I knock on the back wall of my room to get her attention. She knocks back. We do this several times. Naked, I get out of bed, walk to her room, and knock on her door. Friends watch what takes place. When Jamie Lee answers the door, I ask her,"" Can we talk?"" Smiling, she says, ""Sure."" I take her hand as we walk past my smiling friends. ""Let's go to my room,"" I say."
"0079"	"(2016-10-22)"	"I'm sitting at a table in a crowded bar. A mother and daughter enter, sit at my table, and begin to chat. The daughter is slim, the mother a bit heavier. With their long blonde hair, they appear to be German. Both are attractive and lively. I pretend I'm asleep. The daughter says, ""Well, look who it is!"" The three of us begin talking. I make several witty remarks. Secretly, I want to sleep with them. Would they do that? Are they having similar thoughts? We continue to drink and flirt."
"0080"	"(2016-10-24)"	"I'm in a large old house. It's beautifully furnished. I hear small bells tinkling and walk to the room from where the sound originates. My former girlfriend Karen and I, lying on the ground, watch a cat and a dog play with a toy that makes mechanical noises. Karen says, ""I'm moving to another part of the state."" She's leaving to attend a school of some sort. She's thrilled and happy. I say I'm happy for her. I say I'm glad she's finally moving on. I tell her these things but inside I feel sad, and will deeply miss her."
"0081"	"(2016-10-24)"	"Hundreds of people walk across an open field to a meeting where they will discuss a critical article I wrote about an unnamed member of Vietnam Veterans For Peace. Someone gives me money for a time keeper who will assure the meeting lasts several hours. I give the money to a swarthy man in a green sweater who, like a thief, quickly pockets it. Is he joking or serious? A woman named Judy is deeply involved in settling the dispute. I tell her about the swarthy man. I learn that Judy will represent the person I criticized as well as myself. Waking, I say, ""She's in a very difficult situation."""
"0082"	"(2016-10-25)"	"It's night. I'm in a busy town walking toward the bus station. From behind, a man recognizes me. I keep walking as he complains, ""They're going to put a road through here."" He tells me it will ruin the area. Like my father, he's trapped in pessimism. At the station I meet Mike Billson, a GI knew well in Vietnam. We begin talking. It's hard to tell if he's drunk or disabled. Mike asks for help with his school assignment. The subject is veterans, but his difficult speech and muddled thoughts make it hard to understand him. The teacher, who stands behind us, says she would like us to write an essay about the document that is given to soldiers when the leave the army. How has it helped us? How, in good ways, has it determined or shaped or changed our lives? I listen patiently, trying to see her point of view, but I'm thinking of the ways it has not helped. There's much more to tell than what she has asked."
"0083"	"(2016-10-25)"	"I'm standing on an earthy ledge overlooking a calm clear pool of water. Two tropical fish swim serenely one or two feet below the surface. A woman on the other side is fishing with a rod and reel. As we talk, my reel falls into the water. I'm not worried. I'm content to behold the beautiful fish."
"0084"	"(2016-10-26)"	"I have a spy pen with a video camera and enter a store to have it repaired. Behind the counter, which resembles an airport control tower, is Tom, my camp counselor from childhood. From his perch he is friendly, avuncular, theatrical. I hand him the pen. As part of the repair process, Tom says he needs my wallet. He talks at length about how the camera works, and what must be done to fit it. We step outside onto a field where he continues talking. Nearby, a stack of broken tree branches litters the ground. Back in the store, Tom complains about a man who has moved from one area to another. His friendly tone approaches sarcasm. He hands the spy pen to me, talking all the while. From somewhere there is the distinct scent of chocolate chip cookies. Waking, in a friendly but, concerned manner, I say, ""You do have my wallet."""
"0085"	"(2016-10-26)"	"I'm an instructor at a civilian flight school, observing a short handsome young man who resembles actor Tom Cruise as he goes through his paces. I imagine he is resigned to being ignored, but no, he is firm and confident, has studied hard, recites the answers well, and takes the controls with authority. An older heavy set professor and I will test a short woman pilot who resembles one of my neighbors. After she completes the written exam, the professor, who is Southern and gruff, tells her that's all, she may go. Instead of leaving, the woman insists on knowing how she has done. This upsets the professor. Siding with the woman pilot, I press the question. Waking, I say, ""Doctor, what is the problem? I mean, isn't it the right thing to do?"""
"0086"	"(2016-10-27)"	"I'm chewing a piece of bread while standing by a corner of the playground fence at my grammar school, which is now an Army base. In the distance, I see a Caribou transport plane waiting for troops to board. A Huey with armed soldiers revs up, and for several hundred yards skims inches from the ground, then lifts and flies off. I see the front end of a 1940s German staff officer's car, which is painted red and green and has a BMW hood ornament. A few soldiers loiter about. I'm an outsider, but part of me wants to join them. If they ask what I'm doing here, I'll say I'm a Vietnam vet. An ambassador, a very tan, short, middle-aged man, dressed in suite and tie, comes up the cement steps and walks past. We talk. I tell him my landlord knows him, but momentarily I can't recall his name. Then I say, ""Bryan F,"" the name of my landlord."
"0087"	"(2016-10-27)"	"I'm lying on my back. A woman resembling Dot, a writing instructor in a veterans' workshop, approaches. She leans over me on her hands and knees. ""Have you done your homework?"" she asks. I say, ""Oh shit, I forgot. I was at a party."" She asks me where. I say, ""At a house in the city where I went to college from 1972-1974. She becomes more provocative. I become aroused. ""With those big lips, I thought you were a bedroom man,"" she says."" ""I was,"" I say. She's being coy, but are they big? She leans low and kisses me on the mouth, but her lipstick does not conceal her age. Still, I hope she'll take off her top. I want to kiss her breasts."
"0088"	"(2016-10-27)"	"By phone I'm talking to a hospital nurse about my father. She tells me about his talks to women. I ask her when he will give his next talk. I tell her my talks are about Vietnam. I'm flirting with her too."
"0089"	"(2016-10-27)"	"I'm in a small windowless office with three young men. We answer phone calls about VA benefits. A vet calls asking about freebies offered by stores, restaurants, and hotels, for veterans over sixty. A seated worker handling the call asks me for info. I tell him the vet should dial the VA 800 number. He ignores my advice. I talk to another worker, who is staring at the yellow wall inches from his face. I talk with Vincent B. The seated worker taunts him by saying ""Dick...dick...dick."" I want to show them my .45 pistol, which I have in my pack, but this would cause fear. I imagine the guards at the metal detectors. I imagine saying, ""I have to go back,"" and I would turn around, so that I won't be caught."
"0090"	"(2016-10-28)"	"I've had an emotional crisis. Various people have tried to intervene. Walking through a bad neighborhood, I take a wrong turn and enter an abandoned house with many rooms with swinging doors. Squatters have occupied several rooms. I'm looking for someone, but sense danger, and look for an exit. Just as I find it, a short middle-aged woman walks past me and enters the house. We ignore each other. As I walk down the street, my phone rings. A man with a foreign accent asks many questions. I say, ""Who is this? Who are you?"" When he doesn't answer, I interrupt him, saying, ""What do you want?"" Finally, I say, ""Tell me the reason you're calling in ten words or less or I'll hang up."" He keeps talking; I hang up. The phone rings again. A man with a subdued official-sounding voice asks to speak with me. I ask if he's with the VA. No, he's from social services. He's been contacted by Mrs. Danville, the nurse who tried to help with my emotional crisis. City noise makes it hard to hear him. Waking, I say, ""It's noisy. It's hard to hear you. Please call back."""
"0091"	"(2016-10-29)"	"With a group of military prisoners, I'm standing at parade rest. Two or three officers are present. We've been told to direct questions to one particular inmate. After a man has asked his question, an officer loudly repeats it, the inmate answers, and the process is repeated. The men ask banal questions. The answers are equally predictable. It is all done quickly. I know that the man being questioned has committed arson. At my turn, I ask him, ""Did the crime you committed put you or anyone else in danger? If so, what did you do, and why did you do it?"" The other prisoners grumble. His tone is mocking as the prisoner says this is the best question, and he is asked it often. Sneering, an inmate asks me, ""What about you? What did you do?"" My provocative answer has put me in danger. Later these men will try to attack me. I imagine the warden will put me elsewhere in the prison. My crime was to throw hand grenades into barrels of shit."
"0092"	"(2016-10-30)"	"I need bullets for my forty-five pistol. I visit a store where a female worker reminds me of Lisa, the student activist I knew. She says it's not likely the store has bullets but there's a box of used blue jeans which might have ammo. I don't understand her logic. As the woman takes out the jeans, she says she doesn't like them. They look familiar to me. When I realize they're mine I say, ""They're all worn out in the same place."" Going through the jean pockets, the woman finds loose change, which she holds in the palm of one hand. When she holds the jeans upside down, more money falls out. I say, ""Wow,"" and comb through the coins she holds in her hand. ""Look at this!"" I say, ""a 1944 silver quarter!"" (like the coins I collected as a child). But no ammo. The woman says she's sorry. She says I should go to the VA. I reply, ""They probably don't have ammo. They would say it's too dangerous."" I thank her several times. I'm very grateful to her. I embrace this woman. I kiss her. ""I've learned so much,"" I say."
"0093"	"(2016-10-31)"	"I meet My former girlfriend Karen outside Hulu, a popular cafe now located in a large busy mall. With three or four other people on her bike, we ride around inside the cafe. It's great fun, and I meet the actor Michael Cain. Dapper, dressed in a suit and tie, he takes a romantic interest in me. I let him know we can bicycle around the mall, but only as friends. After we ride, he parks the bike, blocking a busy walk way. I move the bike, and tell him to take the lock key. Cain kisses me on the back of the neck. I let it pass. We walk to dinner."
"0094"	"(2016-10-31)"	"I'm on a bus with a handsome young black man. His face is gaunt, like the older jazz poet Gill Scott-Heron. In the past, he's had trouble with the law, and he tells me about a woman he loved, a drug addict. As we talk, I comprehend the meaning of inner strength. I want to tell him this, but listening, not talking, is right. When we part, I tell him to be strong. I'm aware this means recognizing one's inner strength. The scene changes. It's cold and dark; there is snow on the ground. I walk to the house of a woman I know. Standing in front of the house, in a notebook, in large letters, I print one word. If I stand here much longer people may complain. In the foot high snow, I walk to the house where a family rents me a room. In thirty minutes a young white man will visit me. I wash up before he arrives. He surveys the room. With its brown walls, it is cramped and crowded with furniture and clothes. I tell him I've lived in many places in the past few years, some of them real dumps, this one is not so bad."
"0095"	"(2016-10-31)"	"To complete a project, my brother and I, in our twenties, ride a trolley to the library, where I've reserved a room for privacy and quiet. We're about to start when a distraught young man, bearded and with black hair, approaches. He asks if I have any problems, then launches into a forceful series of mixed up questions. Clearly, he's mentally ill. At first, I'm patient with him. Then firmly, I say, ""No. I'm not interested, sir. Stop."" Holding up my hand, I say, ""Just stop."" My brother envies my self-assertion. When the man departs, I ask my brother where he wants to begin work. Here, or at another desk? He's ambivalent. I take charge."
"0096"	"(2016-11-01)"	"I'm on the bottom floor of my old house on Highland Place. Completely empty and gutted, the walls, ceilings and trim have been painted white. I'm puttering around, fixing a few things. The landlord will complete the repairs. The scene changes. An older woman shows me around her enormous apartment. There are rooms and more rooms, corridors and stairways, some like the foyer at place I lived as a pre-teen in Resort Town. The room where she lives is the size of a Broadway theater. Large upholstered chairs, like thrones, are arranged on a balcony, which skirts the four walls of the room. Beautiful brass and wood musical instruments lay on the floor. There are shiny tubas, French horns, old cellos, violins. I say, ""You live here? Just you?"" but I'm thinking, All this space for one person?"" The woman says, ""Yes. This is where I play."" I imagine as an artist she has subsidized rent. I ask, ""Do you have pets?"" She says no. I say, ""You could have parrots. Or monkeys or dogs. The parrots could fly around."" I recall the green parrots soaring over a volcanic crater in Masaya, Nicaragua."
"0097"	"(2016-11-01)"	"In bright daylight, with a group of construction workers, I'm sitting on a street curb. As the traffic crawls past, a bus stops directly in front of us. ""What a view!"" I jest to the man next to me. When the bus engine starts up, it spews black exhaust all over us. The workers grumble, as if to say, ""This is how we live."" I hold my breath. I squirm and duck to avoid the filthy fumes. I'm running out of air. I'm desperate to breathe. Finally, the bus pulls away and I inhale fresh air."
"0098"	"(2016-11-01)"	"I'm in a crowded room built like a theater-in-the-round. I know the group in attendance. We're here to discuss cases. The lighting, the seating, the atmosphere, it's a bit like Dr. Tulp's anatomy class as painted in 1632 by Rembrandt. At my turn, I say, ""The woman was not suggestible."" In fact, she liked being listened to, and spoke easily. Others give their opinions. One person disagrees with me. I'm aware that what I've said is shallow, that the patient is a woman I'm dating. There is an apple with teeth marks on a table. Dayl the Vietnamese writer is present. He's wearing a straw hat with a colorful cloth band and a large yellow flower stuck in front. The scene changes. The group is standing at a crowded bar. A doctor says he's discontinuing the antibiotic therapy of several men who are present. He says the drugs are not effective. They contain the same toxins as they did in 1957. The scene changes. It's night. I'm walking to an old empty house. Inside, it's dark and wet and slippery. I imagine falling, and breaking my leg. It will be numb before there is pain. I climb to where another meeting will take place. Someone gives me Dayl's straw hat. I try it on. I say, ""This isn't me."" Someone asks to see the hat. I hand it to them."
"0099"	"(2016-11-01)"	"Two mafia brothers are to be executed. One is apparently shot inside a building. The other still hopes to escape. Wounded, he hobbles down a residential street, which resembles Highland Place. He sees Mafiosi sitting outside a house one block away. They see him too. The wounded man hobbles to a side street. A Mafiosi car draws near. When the wounded man steps into a station wagon, the Mafiosi exit their car, casually aim their rifles, and lay down a furious barrage of fire. I imagine the bullets piercing the station wagon door. I imagine the wounded man trying to evade the barrage."
"0100"	"(2016-11-01)"	"Very enthusiastically, I'm talking to Hillary Clinton and one of her aides about a marijuana-like drug. Hillary and her aide ask about its effects. ""It can only make you happy,"" I say. The aide asks another question. I want to avoid the negative response, ""I didn't understand what you said,"" but there's no way around it. Up to that point, I'm happy. The dream repeats itself, this time with less enthusiasm. I tell the aide there are no side effects. The aide asks where to park."
"0101"	"(2016-11-03)"	"After work, a man who is my father gives me a lift home. I get out, walk to a partly frozen river, walk out on the ice, and call to the young Europeans on the other side. They offer fifteen cents for a pack of cigarettes. I shout back, ""In the US they cost at least a dollar fifty."" They're surprised, but agree to purchase one pack. With a friend, I walk to a store in an area much like a famous amusement park. The man in front of me buys a lotto ticket. I hear the numbers he's playing and write them down. I buy a scratch off ticket, a pack of cigarettes. I'm excited. I'm feeling lucky. There are colorful blinking lights, old fashion entrance trestles, the noise of the amusement rides overhead."
"0102"	"(2016-11-03)"	"I'm in a class room where people receive test results. The teacher walks down the aisle, patting each student on the shoulder, announcing the result aloud. Sternly, in a scolding voice, she says I have cancer. When the class ends, I leave with everyone else. I'm thinking, So this is what will finish me off, and I am not afraid. I consider asking a young woman I know if she can see my scar, but decide to feel the scar with my fingertips. There is a swollen patch of skin at the back of my neck. Once at home, a small two room apartment, I set my blue pack on the floor. I sit at a desk and start my computer."
"0103"	"(2016-11-04)"	"I'm playing catch with two men in the plaza behind Old City Hall. We've formed a triangle; one man throws the ball to me or my opponent, a young black man, who is big and clumsy, like a man I knew from work. The man who throws the ball has poor aim and continually throws the ball to the black man. I tell him to aim more towards me. Flailing his hands, the black man lumbers left and right trying to catch every ball that's thrown. It's inevitable that we'll collide. I'm frustrated, not angry."
"0104"	"(2016-11-05)"	"I'm talking with several young women at a bar or social gathering. I'm attracted to one woman in particular. She's pretty; her long brown hair, the inviting turn of her mouth, make her sexy. Desire is not the only factor. I'm no longer ruled by impulse, but it's clear she's not interested. Still, it's a friendly group. Or is she interested after all? We leave the bar for a walk outside. It's dark out. The woman has a dog. Brown and black, it's furry, friendly. Somehow it wanders away. When I find the dog, the woman expresses deep thanks. From my heart, I tell her I know how much the dog means to her. I tell her I love dogs too. The woman is so pretty, so lovely. But like the old days, I'm scheming. If not her, there is always her friend."
"0105"	"(2016-11-07)"	"I'm in a room where many young people lie asleep on beds. A nearby woman talks aloud in a dramatic way. She's annoying the man near me, who lies prone on his bed. I say his name. I tell him not to be bothered by her. All the beds begin to move and converge. The prone man, who is handsome, inches toward the woman. There is tension. At any moment, they'll fight. When they are face to face, with violence imminent, they kiss passionately. To give them privacy, I move, bumping up against another woman's arms or legs. Jokingly, I say to her, ""What was that? Oh, that's better. Much better. Thank you so much, whoever you are."" The first woman and I walk across the street. She's wearing blue slacks. Her straight black hair covers her forehead; like an ancient helmet, it protects each side of her face. As we cross the street she says, ""Oh, I know you."" I'm initially attracted to her, but she's old, not as beautiful as I first thought."
"0106"	"(2016-11-07)"	"I'm riding on a city bus to downtown near where I went to college in the 1970s. When the driver lets me know to get off, I ask how much further he's going. I want to get closer than where he's stopped. Up to this point he's been friendly. Now he's annoyed and let's me know it. I ask if he's at least going to Berry Street."
"0107"	"(2016-11-07)"	"I'm with a couple who own horses. We're out in the woods, in a small meadow, walking two horses in a wide circle. We take the animals to a small lake. The male owner says it's good for the horses to swim. He says they work hard. They'll enjoy the water. And they do. I've been holding the reins of one horse, and let go. I tell the owner what I've done but he's not worried. The horses swim about. They seem to be playing. One horse becomes too excited. There's a bit of danger. The scene changes. I have one horse in the living room at Highland Place. The other horse may be sick. I'm concerned about the noise; the landlord may hear it in the apartment below. I'm aware that horses can hear one another approaching from a mile away. The horse in the living room lies on the floor. It's become pale and small. Its face is hidden. What will I do when the other horse returns?"
"0108"	"(2016-11-07)"	"I'm in a hospital. I have cancer. A nurse tells me that after I've gained weight they will send me home. Angrily, I tell her, ""I'm dying and you're sending me home? That doesn't make sense."""
"0109"	"(2016-11-08)"	"I'm on a WWII ammo ship. A Japanese artillery barrage rains down, detonates the ammo, which explodes from bow to stern. An enormous black cloud of thick billowing smoke wells up, obscuring the ruined vessel."
"0110"	"(2016-11-08)"	"I'm with a group of young people hiking in the mountains. We're staying at a large dorm. It's rustic, like the old Works Progress Administration buildings in national parks. On the way to her room, my former girlfriend Karen walks past. She's wearing dark gray jeans. She doesn't see me. Does she want to be together? I miss her so much. The scene changes. With a dozen young people I'm seated at the far end of a long table. About ten people sit on one side; two or three sit opposite them. I'm so hungry, and the food is at the far end of the table. Finally, it's passed to me, but there's only corn on the cob. Small chunks of wonderfully golden, buttered, crunchy, corn on the cob."
"0111"	"(2016-11-08)"	"I'm in the ocean standing on a small rectangular platform made of black gray rock that sits one or two feet above the water, which is calm and dark. In the distance, I can see and hear two or three seals. One seal pops up directly in front of the platform. Now other people are present. Suddenly the seal jumps onto the platform. It's yelping, looking right at me. Does it want food? Should I pet it? Will it bite? The seal looks so friendly, but I'm aware it may bite."
"0112"	"(2016-11-09)"	"I'm in a bedroom freshly painted white that is similar to the bedroom at old home on Highland Place. I lie down but hear something, a man's voice, coming from a radio. I get up to look for the source. There's a ventilation shaft with a wood shutter. The noise is coming from the floor below. I try to jimmy the shutter closed."
"0113"	"(2016-11-09)"	"John N from Vietnam days and I are driving on a winding single lane country road. Overhead, a flat bright sky. A pond with geese to our right. I wonder if the geese fly to other bodies of water. John says yes. He says there's a pond on the other side of the road."
"0114"	"(2016-11-09)"	"I'm in a foreign country, possibly India. There are two places to stay. One building has many rooms reached by small winding steps. As I walk up the steps, a small blonde woman squeezes past. I find a room and lay down. Other people are here. Twice, I'm groped by a dim presence. Python or octopus-like, it slowly pins me down, though I manage to break free. The second time, I wake, moaning. In another room, I ask a young American man about fireworks. He introduces me to a Thai woman, a former opera singer. She steps to a wall and begins to sing a low mournful song. The other rooms are a succession of tents made of light blue cloth in the jungle. It begins to rain. I wonder what it's like to stay dry in the tents, where the water is absorbed by the cloth."
"0115"	"(2016-11-10)"	"I'm in a basement packing for a trip. There are pages of music one person will like. A half-dressed man, who resembles my father, suddenly appears. I say, ""Wow."" The man has lost weight and gained a physique. He explains that he has just cheated on his diet, that he will be reprimanded. At a meeting he asks me to be his therapist. I say this would not be a good idea, one Nam vet counseling another."
"0116"	"(2016-11-14)"	"I'm at a meeting with several people. Inadvertently, each person states their name and branch of service. A thin, handsome, young-looking man, tall with dark hair, identifies himself, then says, ""Marines, in the 60s."" At my turn, I give my name and say, ""Infantry medic, Vietnam, Cambodia 1970. "" At the far end of the table sits an attractive woman who resembles Michelle, a therapist I knew. There's a mutual attraction between us and I want to impress her. The scene changes. The woman and I are slow dancing. The Marine asks to dance with her. It's annoying, but each time he asks I keep calm. I tell him we're involved. I tell him the woman and I are falling in love."
"0117"	"(2016-11-14)"	"I'm in the front seat of the truck owned by my friend since Vietnam, Walter. We're driving down a road in a working class neighborhood. At first, it's unclear who is driving, causing tension between us. Suddenly Walter speeds up, steering the truck toward a house. We pitch up the steps, and plow into the front door; the upended truck hangs ten feet in the air. As we climb out and drop down, I say to Walter, ""Now we'll be arrested."" We run down a dirt path. Walter turns to the right. I run forward. I think about returning for my pack, then keep running."
"0118"	"(2016-11-15)"	"I'm playing touch football in a large field similar to Elk Grove Camp I attended in summers as a youth. Everyone is in their twenties. My team has the ball. I anticipate that the opposing team will send a man to rush the quarterback, and step back to block him. At the hike, we try to fake each other out. The quarterback throws me the ball. I run down field, out pacing or dodging the opposing players. Everyone watches as I run toward a playground, where men wait to jump from the swings and tackle me. But my feints succeed. I continue running. Someone says, ""I can't believe what a good play this is."" Nearing the goal, wondering what gesture to make, I raise one hand in the air. I've done it. I've made a great play that everyone has seen."
"0119"	"(2016-11-15)"	"With another soldier, I'm walking in the woods, patrolling for Germans. A German civilian will not join us. This happens several times. A platoon wearing black uniforms comes in from patrol. I say, ""What's the status?"" When they ignore me I repeat the question, adding, ""We had activity. What's the status?"" The platoon forms a line. I turn to Walter and ask, ""What's with actor Nick Nolte?"" A reporter present resembles the actor. The black clad soldiers wipe down their weapons. I wonder whether to point my M16 barrel up or down. A ceremony will be held for having bested another unit; the platoon will receive a star."
"0120"	"(2016-11-16)"	"A man on an island is captured by natives, who dress him in a prisoner's pelt, harness and tie him to a rock next to a female lion. When the prisoner moves, the lion growls as if to bite. The man yells, ""No, don't you even! No!"" He is thinking, Is this how it will end? and directs his will to escape. The man frees himself, frees the lion, shoos it away, but the lion stays near the shore line, or tries to crawl between rocks, until it's finally shooed away. A baby lion appears, a small, innocent cub. When it paws the ground to urinate, the man yells, ""No! Don't you do that! Don't you do that!"" This happens by the shoreline, where the water is calm."
"0121"	"(2016-11-16)"	"I'm at a spiritual retreat. The building resembles a college dorm. There are monks here. They give each person a cell phone and a wooden paddle, to be used as a fan. Their only job is to make beds. This is their way to enlightenment. I have a bed in a large room shared with others at the retreat. I see an attractive woman and make conversation with her but she's snooty. Before I leave, I remove my shirt so that when I walk past her in my tight fitting, ripped jeans, everyone will see my athletic body. In an empty room, I unpack my things and rest. I call my father on a black landline phone. We discuss where he will pick me up. I'm indecisive. Finally, I say, ""On Osborn Street,"" where he lived. He says he will be there in thirty-five minutes. I want more time to hang out, to get something to eat. In a worried voice, I say, ""One hour?"" We lose the connection, but I'm speaking into the wrong end of the phone."
"0122"	"(2016-11-17)"	"Prior to a guitar gig, I'm staying at a large hotel. As I go to my room, another musician enters. She's overdressed, wearing a folksy costume and heavy make-up. When I ask her name, she answers in an accented voice, ""Uneh."" She says, ""Give me your number. My musicians need it."" I don't understand her request, but accede to it. The scene changes. I'm walking down a wide street, similar to the driveway bordering my grammar school. Twice, I'm clipped by a skateboarder. The third time, I turn to the rider, a woman who resembles my former girlfriend Lucille. I say, ""What the fuck? What's going on?"" The woman is meek, frail, still beautiful. She used to do everything, she tells me, and tells me the things she once did."
"0123"	"(2016-11-18)"	"I'm in a field much like Sycamore Hill Park. The old gang is gone. A new gang, much younger, has picked sides for a game of touch football. I'm standing, watching them play. The quarterback rears his arm back, whips it forward, launching the ball into the sky. I feel like an outsider. If they ask me to talk or play, I'll stay silent. The scene changes. I'm lying down on the grass next to a pretty girl. We talk about movies. I tell her I don't know that film, I'd need to see a still photo, or see the dialogue. I put my arm around her, gently embrace her. ""Are you OK with this?"" I ask. ""As long as you care for me,"" she replies. I tell her I do, and hold her close. She nudges her blouse open. I begin kissing her breasts, pull down her jeans and panties, and go down on her. Someone watching would think how quickly it happened. ""That was fast,"" they would say. But I like this girl. I really like her."
"0124"	"(2016-11-19)"	"I'm in a building similar to the Sycamore Hill Apartments, talking with a woman. She motions that someone is at the door, which is half open. It's a woman named Maryanna, who asks me a favor. In jest, I say, ""I'm a virgin."" In fact, she's scared of a robber inside the building, and points to the hallway. Just then an old dark black woman with gray processed hair, walks by. She's blind; her eyes are completely white. I walk up to her. In a disguised voice I say, ""Hey, I'm putting you under arrest. We've been watching you. Don't move."" I motion to Maryanna to call the police. Later, we talk about space travel and mail delivery. Will it be called ""interplanetary mail,"" or simply, ""space mail?"""
"0125"	"(2016-11-21)"	"I'm underground in an enormous cave, a passenger riding in a subway which floats high off the ground. After arguing with a passenger, I throw a toy train carriage out the window, hoping the police, who are several hundred feet below, will look up. It's too far to jump out. The scene changes. In darkness, on the ground, I'm talking with a woman sitting in a bleacher. I ask her what movie she and the others are watching. What's it about? She says she isn't sure. It seems like a conflict, in black and white, a silent film."
"0126"	"(2016-11-22)"	"Attempting to stage an accident, with two young thieves, I jump into a car that hurtles down a road and deliberately crashes into a wall or barricade. The crash is greater than expected. The two thieves are injured or dead. The police are coming. I escape, disguise myself, and hide in a house where a young black man, handsome and light-skinned, talks to me. Suddenly, he appears in a black belt judo gi. I tell him, ""A friend of mine is always looking for a sparring partner."" The scene changes. I'm changing clothes in an alley outside the house, leaving a large pile of clothes on the ground. Nearby, a happy young boy plays with a paper cup. Twice, he asks, ""What's the number for pumpkin?"""
"0127"	"(2016-11-23)"	"On a beautiful island, hardly touristed, I meet a tall light-skinned black man with processed hair. I know this man. We're neighbors. When I ask where he's been, he says out of the country. We continue with small talk and he invites me to his place for dinner. By the cut of his clothes, his stylish manner, I ask if he's gay. He says yes. Immediately, I tell him I'm straight. ""That can be fixed!"" he replies. I say, ""No,"" and begin walking away. The black man is apologetic, but I'm walking away."
