"n"	"dream"
"1993"	"(2008-03-27 (17)) Dad was complaining to me about maggots."
"1994"	"(2008-03-28 (17)) I was at school. I was in a classroom and the siren was about to go. The teacher was talking and the class was full but I started walking out. I had to walk past Eugene. I was then at this house with Ezra. It was creepy. The reception was really bad and I kept getting texts from 'Poo'. They were like ""na est lie pa"", which really creeped me out. I showed Ezra. I said they were from Calvin's other phone. We watched this video of this person walking past a hallway and it scared us. They tried to get in the house. I was friends with Eugene's group and I needed Darius for something."
"1995"	"(2008-03-29 (17)) I found all these old video games. Some of them were ones I used to play when I was little. One was a dinosaur game and I was like ""Oh and you can change things into dinosaurs"". They were sorted by console and some were 'paper'. It had that fortune teller paper thing. This other dinosaur game was the ""saddest"" game. It was made in 1972. This other game was this one where you race along a road and pick stuff up and dodge obstacles. I said ""I used to play this with Uncle Vic""."
"1996"	"(2008-03-29 (17)) I don't remember properly, but Eugene was sitting with his friends a while away from me and we were watching something."
"1997"	"(2008-03-29 (17)) Mom and I were at some place getting tickets for something. I don't remember anything else."
"1998"	"(2008-03-30 (17)) I was at home. Dad was working late, till midnight or something. I called his work, but he wasn't there. I felt uncomfortable so I called Mom and asked her to pick me up because I felt nervous. She said 'ok, be there in ten'. I was playing music and I heard a baby crying loudly from in the house. I didn't want to get up, so I didn't. I heard people talking and about ten minutes later, some people went into Dad's room. I went in and there was a guy and two girls at his laptop. I was like ""What the hell are you doing?"" and I got the baseball bat and I was hitting them, but it didn't seem to do much. They went back to the games room and there were heaps of other people there. There were some twins who looked like Hilda (Ugly Betty) and they called me ugly and I said ""Look at yourself!"". There was a hole somewhere and a blue block had been put there, but they had pushed it aside and came through. They all went out but I was worried they were going to come back."
"1999"	"(2008-03-30 (17)) I had dressed up (but not really) for some thing and Bryson liked the outfit. We were in a car and Nana was saying that Bryson was amazed that I was ""pretty"". Darius was around and was annoyed at something."
"2000"	"(2008-03-30 (17)) We were at a hotel. I went into this guys room to use a ruler to cut out something I had printed (an obituary). Ezra was in this creepy guy's room and he was coming back so I warned Ezra. He managed to get out in time. There was this guy there called Kit who was really hot and we became good friends. He was then Eugene, and I think we got drunk one night and we started making out."
"2001"	"(2008-03-30 (17)) We were outside somewhere and I was driving to get out. Then there were all these dead ends in this carpark, so I drove over some curbs, but I went up this road and it went between these two waterslides (it wasn't actually a road). Then we were walking and the only way to get out was by going down this part of the waterslide. We had to lie down strangely so that it wouldn't hurt. Then this girl and I went into this section of the place to find the president, so we could get home. This guy saw us and started coming after us. Someone said something about David Palmer (24) and one of us were like ""David Palmer is gone"". Then someone said something and realized it was the president. He was black and bald and he turned around and I said ""Oh, Wayne!"". It was Wayne Palmer (24). We were talking to him and the girl said a gigantic thing had eaten her money. He was talking to me about wine and I said ""I only drink water man"". Wayne's assistant said there was ""a bloody bone"" in the boot of this car. Then it was Easter and we were at Nana's. For some reason, Eugene, Darius, Jeremiah and the others were there too. They were sitting at the big table and I was on the computer. They wanted to play Pub Krawl. Eventually Dad, Ezra and I were at the table too. Dad picked the Pub Krawl box up and I said ""We haven't played that in years!"" and I was thinking that we used to play it with Classmate-M-19 (from Coldspring)."
"2002"	"(2008-03-30 (17)) I was watching Ugly Betty. Betty got bigger glasses and she smiled. She looked odd."
"2003"	"(2008-03-30 (17)) I was watching American Idol. They showed Michael Johns and then they had these African kids dancing. Randy Jackson said ""What is this, So You Think You Can Dance?"". One of the dancers, a little girl, had weird arms and they were wrapped up around her head. She had said something 'sad' to Simon Cowell and it had changed him somehow. She tried to do the same thing to Randy."
"2004"	"(2008-03-31 (17)) I was at school and I went to this place which would bring people back to life or fix them up (like an emergency room). I had brought in Will Arnett ages ago and I hadn't heard anything from them. As I walked to it, I was reminded of Ugly Betty and how Hilda was when Santos died and I was talking like Hilda and saying ""Oh my gawd!"". The place was full of people and I waited patiently, and finally I asked the girl there. She said ""Oh, it was Tom Arnett's body wasn't it?"" and I just said ""yeah"". She scrunched her face and said ""How do I put this..."" and I said ""Just say if he is dead or not"" and she said ""Ok, he's dead"". Then she was talking to Stephen Tobolowsky who was hanging around in the background. I was trying not to cry and walked back to school. Some boy was throwing this ball and talking to himself. I walked into the senior school block and said ""Geez, you're noisy"" to the kid."
"2005"	"(2008-04-01 (17)) Mom, Ezra and I were driving, but we were in Dad's car. I was with Dad at first, but it changed to Mom. There were deodorant cans or something on the road. This creepy, dirty guy was standing in the middle of the road and he put this yellow bin in the middle of our lane. The car was high enough to miss it, but we were like 'what the hell was he doing?'. We had to leave the car and we were walking through this swampy looking place. Mom and Ezra had been hurt and were looking for a hospital. There was some brown/green water, which was also bubbly. We had to cross it to get any further. There were some signs and one had stuff spelt wrong. Mom and Ezra went in it and started swimming, so I followed them. The next obstacle was below us (it was dug-out, like a pool, but with sand on the side and no water). We had to jump into it, but so that we would slide across this little slid-y bit on the bottom of it. Mom did that but she didn't slide and Ezra went and slid into her. I just climbed down the side of the 'hole'. The last thing was this trampoline and you had to get into this ""air swing"", which Mom said people had sex in. Ezra got into that and we had to get somewhere else. We finished it and Mom was like ""Why don't you want to have sex with the guy?"" and I was like ""Huh?!"". The guy came out and he was blonde and odd looking but he was pretty hot. Seamus was there playing a DS and I said ""Shiggan! You're still alive! We thought you'd been raped and killed"". He laughed. The guy was gay. Then Ezra was Seth Green and we weren't there. There was a fat girl there too. The guy said he wanted to keep Seth, but the girl was ""manlier"". She was crying and I was like ""What the flip? You're girly!"". Then it was us again. I was telling the guy that the guy with the bin reminded me of the Winkie's scene in Mulholland Dr. I went home and Ezra was going to stay with the guy. Then Dad got a text that Ezra was coming home."
"2006"	"(2008-04-01 (17)) I was in a room. This guy's phone had exploded before. Then his friend's phone was going to explode and he threw the bomb thing and I was like ""Now your phone's going to explode"" and he was like ""Damn it!""."
"2007"	"(2008-04-02 (17)) I was at school in math. Mr Gutenberg was there. We were doing some weird results thing and it was like a 3D bar graph. There was ""one drawn right and one with the right answer"" -- one was mine and the other was Eugene's. It happened with another thing too. Selena was talking to Alejandro about family trees and he thought she said cheese."
"2008"	"(2008-04-03 (17)) This guy had a little apartment. His friend caught up with him and then he left. The friend and I went back in. The guy was coming back and I hid in the shower. His friend tried to distract him and I had to move under this thing (that was like a bed). His daughter and her friend heard me and took a box that I was hiding behind away. Eventually the guy got distracted and I ran out. Then the guy came out and the daughter had told him I was in there. It had happened once before. I think the first time, Christopher Ryan was in the shower."
"2009"	"(2008-04-03 (17)) We were at a shop. This lady and I were poisoning apples. I was driving and I took off from the lights but then I had to stop quickly and I didn't stop in time and I hit the car in front of me. It then hit the car in front and that kept happening down this very long, busy street (domino effect). At the next set of lights, there was a huge accident. I asked Mom what I should do and she said ""die"". She brought me to this road that I had trouble with and I said ""Are you trying to kill me?"". She said it was so we didn't have to go to jail. Ezra was also in the car."
"2010"	"(2008-04-03 (17)) I was at Nana's. She was going to bring me to the hospital for some reason."
"2011"	"(2008-04-03 (17)) I was watching TV. This dating show thing was on and this guy, who wasn't bad looking, had three girls to date. One was blonde. The girls were sitting together and she said she was going to the toilet, but she called the guy instead. It showed the guy talking to the camera, saying about one girl, ""I got this virgin vibe"". He said about the other girls: ""They go off to the club and shower together"". It also showed the girls in a pool and he was looking at their boobs."
"2012"	"(2008-04-03 (17)) We had an excursion. There was a height and weight scale in this big clothes shop. It was really big and it went around in a circle and had spaces for six or so people at a time. When it was done you got this cool piece of paper with all this information on it. Elijah and Noelle were there. Everyone participated except for me. We saw Salim walking across this oval to get there. I wanted to ask if I could go on by myself."
"2013"	"(2008-04-04 (17)) I was at school. I don't remember properly, but Eugene and I were friends and I think he liked me."
"2014"	"(2008-04-05 (17)) This guy was making a movie. He cast Kevin Connolly in a role, but was originally going to cast Theodore. I was painting a room. Everyone there had a certain colour to paint with. Tucker was there. I had red. On the wall, already painted, was red, yellow, pink and something else (they were in stripes). There was a certain order but if we liked a spot more, we could paint there instead. The pink was called the ""mystery colour"". I don't remember what happened but Dad, Ezra and I were in a car. Sometimes Dad was Mom. These people in this other car were doing weird things. Mom had an argument with this lady, who looked like Liza Minnelli. Ezra wanted to read some diary extracts and I said no. We were at a house later and they had school photos there. They were from this thing that some students went to. I wondered if Eugene was there so I looked through them, but he wasn't. We were then in a room somewhere and I looked out the window and there was no ground; all there was outside was clouds and darkness. We were then driving. Elijah was with us. There were fireworks and people from school were like 'I haven't seen them in ages'. I was thinking about the stuff we learnt about fireworks in chemistry. This lady was driving and she went back up this road and trees were in the way and she stopped on a jetty. I said ""now someone's going to come and push off"". This car then started coming. I jumped out and ran. I ended up in front of this house and Dmitri opened the front fate and let me in. He told me to look for something and he was doing something with this weird thing and I was like ""Are you the Anti-Christ?"" (something about the Anti-Christ had come up earlier) and he told me to look at this thing, which then turned into this bright white light. I was then somewhere else. People didn't like us because of all these accidents that had happened to some people and they had died. We went to the Liza Minnelli woman later to apologize. Dad said he didn't want to have her ""on his butt"". Will Arnett was somewhere. Dad was watching a movie earlier. I was with Calvin somewhere."
"2015"	"(2008-04-05 (17)) I was outside at this place, which looked a little bit like a hedge maze. I was walking along a path and I saw Eugene and Darius coming down the other way. I was looking at Eugene. I was then in a house. Each house (or room) could only have a certain amount of people in it. It was raining. We had to go inside if it was raining or if it was hot (or we would die). The rain was dangerous for some reason. We had to lock each door to make sure no-one else snuck in. I had trouble locking a door. Then it was hot. Someone was trying to come in because someone inside owed them money. Then Dad and Ezra were outside and knocked on the front door and they said ""It's ok now"". We lived in a desert, because everywhere was now a desert."
"2016"	"(2008-04-05 (17)) I was in English and we were sitting in our groups. We thought we were going to be practicing our speech, but Ms Madsen had already started recording us."
"2017"	"(2008-04-05 (17)) I was walking outside with Mom. She was looking for Spaceman and I was calling out for him and I saw Cuddles. There was a big black cat on this video and its face was blurred. I was at home, which was really different. I was on my laptop and the internet wasn't working properly. Mom wanted me to go on some site. I was watching a bit of 24 and Tony was lying on a lounge and Michelle was on the TV."
"2018"	"(2008-04-06 (17)) I was at school. Fatima and Colleen were there. Fatima was asking me questions about our speech. I think she or someone else, were having sex with this random guy. Some people were making fun of me. Fatima had text me and I hadn't replied. I had a text from Colleen too."
"2019"	"(2008-04-06 (17)) I was at home and it was before school. I was playing a game on the computer. I lost track of time and Dad was like ""We're leaving now"". I had to get dressed and straighten my hair still. I said ""Look, just get Mom to drop me off"". It was already 9.30am. Ezra was there. They were like ""Oh, you'll just wag"". But, I wasn't going to."
"2020"	"(2008-04-08 (17)) Some band had done a song with Buddy Holly and the Crickets. I discovered that Ryan Cartwright was dead and looked him up on IMDb. They didn't have a death date on there, but I worked out that it was on March 2. I was reading posts on the message board and he had been murdered. People suspected his mother. I was doing heaps of washing. Acquaintance-M-01 called. Dad asked me what job would suit him and I said ""Computer... analyst?"", but that was what Acquaintance-M-01 was, and Dad was only saying it so he would stop asking him questions, so we had to think of something else."
"2021"	"(2008-04-09 (17)) Eugene was telling me about some speech he was doing. I was at Nana's. Then I was at 'school' and Mr Reilly was early and it had something to do with his wife. Then we were at this place and something had fallen into this water in front of this restaurant (it was like a long, square shaped pool, but it had a bridge over it and you didn't swim in it). Then Mr Reilly or I jumped in to get it. Some people helped us. It had something to do with his wife again."
"2022"	"(2008-04-09 (17)) I was at Fatima's. Some others and I were staying there. We went out for a walk. Her parents were really strict and annoying."
"2023"	"(2008-04-10 (17)) Mom and I went to a petrol station or deli. Ezra was on TV talking about Runescape and summoning. I was thinking that I wanted to do my summoning. Someone was questioning Mom about us, so she made us record a bunch of stuff so she could say she was with us. Some lady was in a building with another lady who she was protecting. The bad guys came and she said ""we gotta get out of here"". Then it was a game and on the screen there were lots of dots and it showed which dots were bad guys. I had to find a path where I'd be ok. Then I was at school and we were watching something which was really weird and I said ""It's like David Lynch!""."
"2024"	"(2008-04-11 (17)) Mom and I were at some weird place in the forest. It was dark. There were these hamster like animals with long snouts. They were doing some weird things, so Mom left a note on the cage saying that they had fallen and hit their head. We got a lighter, some gas and a lantern and it made a little explosion when we put them together. We then had light. We were walking down a path and if we leant forward and walked a bit faster, we would suddenly just go really fast, so we did that. Then we were at a village with a place to sleep. Then it was Eugene and I. We were in a room. He was in bed and there was another me and I was watching her. She was like ""Oh, I need my cappuccino"" and Eugene and I were like 'what the flip?'. He couldn't see me. I realized I'd been 'separated' and had changed the part of me that didn't like coffee. It was sometimes a game and I was little and jumped onto the bed and collected coins. Then I went in the kitchen and collected the coins in there. Then Ezra, Mom, Dmitri, Eugene and I were in a car. Mom went to a petrol station and Dmitri was in the driver's seat. This guy went to Ezra's side and asked him to write a note about the car and started going to the driver's side to take it. I locked the doors and then I was in the driver's seat and I took off. I was going really fast, but the guy went into a car and was following me. We ended up in a shop, still driving, and the cops were chasing me. I saw a cop car, so I stopped the car and threw my hands up. I told them a crazy guy was following me, but he was gone."
"2025"	"(2008-04-11 (17)) I was at home. Eugene, Darius, Alejandro and Jeremiah were staying over. Ezra was there too. My room was really messy. My diary was on the floor. I was going through a box of stuff and Alejandro was watching me. I found some Goosebumps books and I said ""I love Goosebumps!"". I didn't want them in my room in case they got hold of my diaries, but they didn't go in there. I was going to play Pokemon Diamond."
"2026"	"(2008-04-11 (17)) I was in the car with Mom. Ezra called to ask if I wanted Clayton's sub from Subway for dinner (he didn't want it, and Dad had forgotten to get me one). I said no, and he told Dad I said no and Dad said to get Mom to get something for me. We were trying to find a Subway. We went to some shop in Innaloo which had a Subway. Mom got me roast chicken, but when I looked at it, it had only one 6-inch and bits of chicken and tomato and stuff on the plate. I complained to Mom and this lady went to put salt on it. I grabbed it away and complained that salt would make it worse. It had some sauce on it, which was actually pretty nice. The chicken was in strips. I went to this toilet. There was a big room and three doors -- one was the men's, one was the women's and one had a silhouette in the shape of the head of Frankenstein's monster. I tried to go into that one, but the door wouldn't budge. I was then at home, I think, watching something. Some guy had been the only one to survive this ride (it kept getting rigged by this dude so people would die). It was all filmed and I was watching it. He had been going down the slide and to his doom, but the dude who rigged it, had set up a box which told you how to survive it. He managed to survive, but then the guy went after his family and they all died. At the end of the slide, one of them was blindfolded and had to light all these sticks and once they were all lighted he could let go and live, but they started going out and he let go and died. Then Dad said the next one was ""Eugene Pritchard"" and I was like 'what?!'. I took it off him and it had all this information about him and baby photos. It said his birthday was January 11. I was reading some stuff about him doing well in science and I was crying. Ezra was asking me something and I was trying not to look at him."
"2027"	"(2008-04-12 (17)) I was in the car with Eugene, Rodney, Ezra and Dad. Sometimes Dad wasn't there. We went to Mom's and then Bradley was in the car. We were sitting so that it went Bradley, Eugene, then me. Bradley asked me if I could see if there was a coffee chill. The house was different. Mom had cleaned out some of my room (Ezra had stuff in there). I went to the fridge and there was hardly anything in there. There were some green bottles in there. Mom was playing on the computer outside. Darren was around. I told Bradley that there was nothing. Ezra was playing Counterstrike. I had a water bottle and Eugene kept drinking out of it. My hair was normal, but looked straight. Eugene and I kept being rather close."
"2028"	"(2008-04-13 (17)) I was in a shop I think. This girl kept calling me fat. At another time she was annoying me about not having friends and I said ""Who wants them?"". I grabbed this weird waffle thing and left. I was then driving and was having trouble. These cops behind me put their lights on and I was like ""What do I do?!"" and Mom said to just pull over and that they seemed like they were nice. The cop asked me if I'd been drinking and I said no and he made me breathe into the breathalyzer. The cop started picking on me and I was wondering what was going on but didn't say anything. I walked past Eugene's house, but it was different and in a different place. I could see through the window and Eugene was on an orange lounge that was falling apart and he was watching TV and putting this mould of an old guy on his head. Later, he was trying to get people to bet on some horse dressed as the old guy. I told Dad not to and said ""it's a guy in my class"". Later I was walking with some girl from school. There were these weird lights in the sky and they were falling to Earth. Soon, there were a bunch of them and we realized they were aliens. I was hiding in a car. The aliens took over Earth."
"2029"	"(2008-04-14 (17)) I went to school. I got given a slip by Mr Stevenson to see him and some girls at the ""hotel looking hall"". I was in the office and went to the hotel like room. Mom was there. These ladies were talking to me. I had a sniffly nose. Mom said she was taking me home after and I was thinking 'Ezra's not going to be happy'. Mr Haynes was there too."
"2030"	"(2008-04-15 (17)) We had an excursion. We were put into groups and we drove up there in a car. Eugene, Calvin and others were there. It was like a camp. I went in a pool which was really deep. I jumped in and went to push off the bottom but there was no bottom and I couldn't swim back up. I waved my hand and some people pulled me out. I said that I forgot how to swim. Ezra was there too. I had to evict people from our group after tasks. We had to 'win' minutes to sleep. I got 70 minutes. I was thinking that Eugene had 8 hours. I was playing Runescape, except it was real. I teleported somewhere and this spider thing attacked me and I almost died. Then back at the camp place, we got down to the final two in our group, but I don't know what happened then. Mom was driving me to 'school'. There were a group of Asian men outside. I said they were filming ""House of the Dead II"" [note: Ezra had it on his desk when I was using his computer yesterday] and that David Lynch was directing. We had a new camp. Girls had to get this suction thing off of Ms Corbett. Eugene wasn't there this time. Evelyn, Fatima and Calvin were there. Calvin got a suction thing and I said it was only for girls. Some people had colourful suction things. Fatima, Calvin and I were in a group and we ended up in a car with some others. Fatima and two others were in the front with the air-conditioner on. David Lynch had done some movie with Rebekah in it. But it was 'real'. It was at Mom's old house, but it was different. We needed money so we wanted to rent a room. Rebekah was the only person in the state who wanted to rent. I didn't want to let her, but we did anyway. She never paid and kept running off at night etc. I was going to kick her out. I was telling Dad about something."
"2031"	"(2008-04-16 (17)) I was near the lounge room. Eugene was in there with some others. Dad was talking to me. Tigger was just at the entrance to the lounge room and I was playing with her and calling ""Linxy!"". I went driving with Mom. There were clouds in the sky and they were weird looking. Mom asked me if I knew what they were and she said they were hurricanes. I freaked out. We went to a petrol station and Andrew McCarthy worked there. He said my limit (for petrol) was full for today and I was like 'damn, we can't do the logbook quickly'."
"2032"	"(2008-04-17 (17)) It was the morning before school. My hair hadn't been straightened. We had jackets with hoods but I didn't think it was going to be cold enough so I planned to wag. I was near the kitchen and Dad reminded me to make breakfast. Then Ezra was there. We got to school which was really different and I told Ezra to go upstairs (so I could tell him I was walking). We were in this big room. Ezra said ""Hey Aunt Sally' and I saw her sitting in there. I didn't know any of the teachers there. It was for form so I was trying to find mine. There was a guy and a girl and I asked each of them if they were from B2 but neither answered. A movie about some wagging boy had come out recently. There was something about A Clockwork Orange and Malcolm McDowell was hitting some guy in the balls. This lady teacher was annoying me so I yelled at her and started walking out. Ms Pascal was coming and everyone ran out of the room, so I went with them to sneak out. There was a pink bike near some trees. I took it, but had trouble with it. I got home. All these people turned up outside a while later. Aunt Sally, Poppa, Uncle Wilbur, Dad and others. Dad came and talked to me calmly, then Mom came to stay with me."
"2033"	"(2008-04-17 (17)) I was at Nana's. Last time we were up there I had started making some dessert but had stuffed up and didn't finish. I had some game with recipes for a cake. We came up with the ingredients for it. I tried again and it was stirring, but it was just pink and white lollies in there. I realized I forgot flour and milk and all the important stuff. I asked Nana for a bunch of ingredients (eggs etc). Dad was annoyed at me because he wanted to leave. There was some show where they tested if talking to plants helped or not. One of the girls on it had lost half her weight and was embarrassed to go on. She actually didn't and went on the show."
"2034"	"(2008-04-18 (17)) I was at Mom's old house. Fatima lived next door and we'd become friends. Her parents and Mom and Darren wanted a chat with us. They had recently got our reports and were disappointed. I had an A in Accounting and a score of 201/202 and the others were ok and one C. Fatima had one C and 2 D's and the rest were 0 (Accounting and something else). I said that I got a C in Biology because I didn't send off all the assignments in time. Darren asked something. We were outside, but under a sheltered bit. They went away and we tried to sneak past Mom to go back to my room but she saw and we all laughed. There was a ghost. Fatima was trying to sleep. There was a cat with xx eyes. Fatima's father was on the roof with the ghost and the ghost pushed him off. I was playing Runescape. Varrock had the best bank but to get in you had to go through this thing where you jump on these monster's heads. If you missed the head it took heaps of damage. I ended up going to Falador instead. I also got some teak planks at some point. I got an IM from Seamus on MSN. He sent me a message through some site though. He said I had changed heaps and I was emo because I had been listening to ""Choirboys- Run to Paradise"" and I was annoyed that there wasn't a space between Choirboys and the hyphen. I said I hadn't changed and that I'd liked that song for ages. I didn't really understand what he meant by what he said. We continued conversing and it was really funny. My music playlist on Windows Media Player kept going all stupid."
"2035"	"(2008-04-18 (17)) This guy on some show would do stuff to people to see how they react. At one of the houses he said ""pee on the wall and blood on the doors"". Then he realized they had a son because he saw baby stuff on the ground. They came home and someone and I went out the back and over this gate at the front of the next door neighbour's house. Some guy was like ""Hey I just saw you-,"" and I said ""Yeah, we lost our ball""."
"2036"	"(2008-04-18 (17)) I was at 'home'. Sometimes it was Mom's house. Kenny Hotz was there and he was trying to kill me I think. I hit Spenny with a metal pole and he fainted. I hit Kenny and he was bleeding, but was ok. I ended up in the pool. I had a shower at Mom's house. I got out and realized I had forgotten to wash the conditioner out. Ezra came to ask me something. I was then at 'school'. Some guy called Tim Course, who was an actor, was coming. Ms Corbett was in the common room, which was different. She asked me to go. Calvin and Liesl were there. We were getting put in groups and Calvin was trying to get me in his group, but I wasn't going to go to see the actor guy."
"2037"	"(2008-04-18 (17)) This friend of mine and I met up with Frank Whaley and he was talking to me for a while. He and my friend fell asleep on a lounge behind me. I was taking photos of him and Tigger with my phone. I was thinking that he was really hot."
"2038"	"(2008-04-19 (17)) I was at home. Nana, Dad and others were there. Santiago told me to move the exercise bike into the games room. There were different groups of females. They were allowed to request one thing each for some competition thing. One of groups was black women. This other group had this pretty girl in it and she wanted this cream and I was like ""Why don't you just get food instead?"". I was out the back. Leslie was knocking on the door. I had been looking after her kids, but I'd forgotten all about them. Nana thought something I don't remember was bad for young kids. Dad was making my lunch for school, but we only had bread with sultanas in it. I asked if any shops were open and the only one was called Copenhagen. We went there. We were outside and Nana saw a competition where you jump up and hit this part of a poster and if you hit all of them, you could win trips to different places. She won a trip to this theme park. Dad and I were waiting for her to finish there. On the TV it showed her going down a waterslide. Then these people wanted to interview us (we had all gone now). They were setting up video cameras in this shop. We were lined up, so Ezra was at one end, then someone, someone else, Trevor Fehrman, Dad and then me. I complained about the order and Dad said to go next to Ezra and I said ""No, I'd rather be next to Elias here"" and pointed to Trevor. They were asking Dad questions and pulled him away from the shop. We went to follow them but they told us to stay. The interviewer kept pulling people away and then it was just Trevor and I. He said ""That was a tidal wave"" which was a reference to an earlier joke. I laughed. There were boxes for Sims 3 and we were arguing about it and the people were filming our argument."
"2039"	"(2008-04-20 (17)) Dad said he was going to leave for Seabird today. Ezra was there. I said I'd just stay home then because I still had to wash my clothes, do my iPod etc. I asked if he could just go tomorrow and he decided to."
"2040"	"(2008-04-20 (17)) I was at 'school'. Fatima, Calvin, some others and I were outside of our class. Someone gave us a sheet of paper which said ""I love someone"" and my name was on there ('I' had signed it). I said that it wasn't my hand writing. They went to show someone else the paper and I followed. I left before them but this teacher lady made us all stay back. My desk was at the front of the classroom. We were seated: Fatima at the wall, Calvin, Lucia, someone, then me. Lucia was out of her seat.  We were doing some stuff on the floor. Eugene was behind us and he said that they couldn't fit behind me. I started yelling about them calling me fat and that I didn't ""have to look like a prostitute like them"". I saw Eugene looking at me and I was like 'oh...'. His friends asked him later to ask me out, but he said he didn't want to (it was mean). The teacher was in this office and said ""Izzy?"" and I said ""Me?""."
"2041"	"(2008-04-20 (17)) I don't know where I was, but I found my diary from 2002. In it, I had written that I was going out with Eugene. I was like 'what the hell?'. Every entry had something to do with him. One of them said ""Me and Eugene are going to get married""."
"2042"	"(2008-04-20 (17)) I was at Nana's. There was a boxing match and this guy wanted to win on 30 points. They could get 'free' points by spinning a wheel. The other guy got 40 points. We went outside. The boxer guy was there. A friend of Ezra's was there and I started hitting him. This curly white haired guy was near the fish pond and I said ""Who's the creepy dude?"". The boxer said ""My manager. My father,"". His mother also had curly white hair. We all went to leave but all the exits except for one had been blocked. We went out and there were stairs. We saw this car drive off, but then it came back. This dark coloured lady got out. She had set up an obstacle course. I passed the first obstacle and was going over to the second thing. I had to go through a hospital and this lady gave me a baby boy to hold. He was really small and kept opening his mouth but he was 'muted'. I got to the second thing, which was on a computer, and the lady came so I gave her back the baby. Alejandro finished at the computer but someone else got his computer. Eventually I got a computer. We had to play this Mah-jongg game. If you made a mistake you would get an electric shock through the mouse. I finished and then was at a chess board. This giant lizard escaped and it stepped right on my side of the chessboard. I told the lady what happened and she said I could move on. The lizard was then a dinosaur. It kept coming after me. I was running up and down stairs and then went into this shop. The whole inside of it was cushioned, airy, bouncy and dark. The dinosaur followed me in and I hid under the wall. The dinosaur went past, but then saw me, but I got out. This girl was hiding behind a pillar. She was going to check where the dinosaur was but then its nose came past and was sniffing. Then I was in the car with Dad and we were driving to this forest. The sky was smoke and fire. The trees were burning and they had health like on Runescape and it was going down."
"2043"	"(2008-04-21 (17)) I was at home. Dad was working late or staying out. I had gotten some movies out earlier so I went to watch one of them which had Ana Ortiz in it. The cover of it, showed her pregnant, having the baby. Then I heard a car pull up and I looked out the window. It was a blue car with Tooth Pritchard/Tooth Pritchard (one on top of the other) or something as the number plate. I put the chain on the wood door and went to my room. They tried to get in. All I could hear was loud banging. I tried to call Mom but it said the phone was unavailable. I called Darren but he said they weren't at home. I called Dad's work and told him to come home. At some point, Ezra came back. We were outside somewhere and this guy was trying to get in the building. We began to run away from him and we opened this door and were in a classroom. The door didn't lock and I tried to keep it closed, but the guy got in. I got some scissors and I was stabbing him. There was lots of blood. We also had to kill the cats at one point and we kept attacking them but they didn't die and I got upset because Tigger was so scared and I was hugging her. The next day, Mom came over. Some other people were over at first and I was in my car with the air-con on and I had strawberries and Milk Arrowroots to eat. She came and we went to her place, except we kept getting lost and sometimes we were walking instead."
"2044"	"(2008-04-22 (17)) I was at Mom's. Ezra said Spaceman had been acting weird since he got some purple thing on Runescape. It changed his stats and Spaceman was hissing at him when they were high."
"2045"	"(2008-04-22 (17)) We were at Seabird. Mom came down. I asked if she could take me home and she went to drive off. I managed to convince her to and I got my stuff in the car. As I was packing, Ezra was in the room, then Dad came in complaining because I didn't tell him I was leaving."
"2046"	"(2008-04-22 (17)) I was bored so I went to this place I had been before with the school. It was closed to the public, but there were people inside. I went in and I asked this lady at a computer some questions and asked if she had this program where you put in a scenario and it tells you what would happen (how many people would die, what would be destroyed etc). She said she didn't know. Then I was doing a quest on Runescape. It was called Slug Menace, but was a different quest. There were lots of toys with stripey snakes and puppets and they moved away from me as I moved. The room was empty and quite dim. I had to get into this cage, but had to go the long way. To get through one part of it, I had to light certain things to get certain colours. There was black, green, red and blue. Dad was there at one point. The second time, a room was pitch black and I almost fell down a hole."
"2047"	"(2008-04-22 (17)) I was at a party, it was some famous one. This guy and I (and sometimes I was Katherine Heigl) were in a shop. He was holding me and kissing me and rubbing my feet against chocolates and stuff in the shelves. Then a friend of relative of mine was nearby and I was trying to hide my face. He took me into some male toilets and I said that I was going to go the toilet in the ""ladies room"". The doors of the cubicles were high, so you could see people sitting on the toilet. I went anyway. This girl I was with was watching me, smiling. There were some girls in the cubicle next to me and one had a baby and they were saying how she had to go without sex for a week and she had gone past a gym and all these guys came out with their gym clothes on and they were sweaty and stuff. I was thinking 'what the hell, that's disgusting'. The girl I was with and I went back to the toilet, but then there was a play and we were walking towards the stage. Madelyn was with us too. The girl said that we had to do some thing with Justin Timberlake (like rubbing boobs on his head) and I was like ""I'm not doing that and I'm not touching Justin Timberlake!"". She was wondering why and that she thought I was more outgoing or something. I said that she didn't even know me very well and that this was ""the first party I've ever been to"" and ""I'm not as wild as you think I am!"".  We got to the stage and Calvin text me and it said that Madelyn was coming near me and I realized he was there because I was standing next to her. I was involved with the play, so I sat on a chair on the stage (there were heaps of chairs behind the curtain) at the front. Evelyn, Gavin and others were singing Camelot (Monty Python and the Holy Grail), which I mouthed. The tape stuffed up and they had to stop the play. There was a guy called Ned and he told me some story. Darius was playing Evelyn's lover in the play. Eugene wasn't there. We were in the common room later and Daryl was asking ""Who do I like?"" and I remembered that I'd seen photos of the person on his Myspace but I couldn't remember who it was. Everyone thought it was going to be a guy, but it was Genevieve."
